Código,Unidade,Sub unidade,Tipo,Nome,Descritivo,
1240.20.547,Expedição,Secção,Energizados,,,
1240.20.548,Expedição,Secção,Energizados,,,
1240.20.549,Expedição,Secção,Energizados,,,
1240.20.550,Expedição,Secção,Energizados,,,
1240.20.551,Expedição,Secção,Energizados,,,
1240.20.552,Expedição,Secção,Energizados,,,
1240.20.553,Expedição,Secção,Energizados,,,
1240.20.554,Expedição,Secção,Energizados,,,
1240.20.555,Expedição,Secção,Energizados,,,
1240.20.556,Expedição,Secção,Energizados,,,
1240.20.557,Expedição,Secção,Energizados,,,
1240.20.558,Expedição,Secção,Energizados,,,
1240.20.559,Expedição,Secção,Energizados,,,
1240.20.560,Expedição,Secção,Energizados,,,
1240.20.561,Expedição,Secção,Energizados,,,
1240.20.562,Expedição,Secção,Energizados,,,
1240.20.563,Expedição,Secção,Energizados,,,
1240.20.564,Expedição,Secção,Energizados,,,
1240.20.565,Expedição,Secção,Energizados,,,
1240.20.566,Expedição,Secção,Energizados,,,
1240.20.567,Expedição,Secção,Energizados,,,
1240.20.568,Expedição,Secção,Energizados,,,
1240.20.569,Expedição,Secção,Energizados,,,
1240.20.570,Expedição,Secção,Energizados,,,
1240.20.571,Expedição,Secção,Energizados,,,
1240.20.572,Expedição,Secção,Energizados,,,
1240.20.573,Expedição,Secção,Energizados,,,
1240.20.574,Expedição,Secção,Energizados,,,
1240.20.575,Expedição,Secção,Energizados,,,
1240.20.576,Expedição,Secção,Energizados,,,
1240.20.577,Expedição,Secção,Energizados,,,
1240.20.578,Expedição,Secção,Energizados,,,
1240.20.579,Expedição,Secção,Energizados,,,
1240.20.580,Expedição,Secção,Energizados,,,
1240.20.581,Expedição,Secção,Energizados,,,
1240.20.582,Expedição,Secção,Energizados,,,
1240.20.583,Expedição,Secção,Energizados,,,
1240.20.584,Expedição,Secção,Energizados,,,
1240.20.585,Expedição,Secção,Energizados,,,
1240.20.586,Expedição,Secção,Energizados,,,
1240.20.587,Expedição,Secção,Energizados,,,
1240.20.588,Expedição,Secção,Energizados,,,
1240.20.589,Expedição,Secção,Energizados,,,
1240.20.590,Expedição,Secção,Energizados,,,
1240.20.591,Expedição,Secção,Energizados,,,
1240.20.592,Expedição,Secção,Energizados,,,
1240.20.593,Expedição,Secção,Energizados,,,
1240.20.594,Expedição,Secção,Energizados,,,
1240.20.595,Expedição,Secção,Energizados,,,
1240.20.596,Expedição,Secção,Energizados,,,
1240.20.597,Expedição,Secção,Energizados,,,
1240.20.598,Expedição,Secção,Energizados,,,
1240.20.599,Expedição,Secção,Energizados,,,
1240.20.600,Expedição,Secção,Socorrismo,Caixa Primeiros Socorros,,
1240.20.601,Expedição,Secção,Socorrismo,,,
1240.20.602,Expedição,Secção,Socorrismo,,,
1240.20.603,Expedição,Secção,Socorrismo,,,
1240.20.604,Expedição,Secção,Socorrismo,,,
1240.20.605,Expedição,Secção,Socorrismo,,,
1240.20.606,Expedição,Secção,Socorrismo,,,
1240.20.607,Expedição,Secção,Socorrismo,,,
1240.20.608,Expedição,Secção,Socorrismo,,,
